Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765110521,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765110522,5,,Aggregated,0.000000,0.000000,14,14,14,18,18,18,18,18,18,18,18,5,5,14,14.787916402565315,13.856541001587175,17.726165999192744,0.0
1765110523,10,,Aggregated,0.000000,0.000000,10,14,14,14,14,18,18,18,18,18,18,12,12,10,11.069406167128667,5.168250005226582,17.726165999192744,0.0
1765110524,15,,Aggregated,5.000000,5.000000,9,10,14,14,14,18,18,18,18,18,18,20,20,6,8.510687499074265,3.6668339889729396,17.726165999192744,0.0
1765110525,20,,Aggregated,5.000000,5.000000,5,7,9,9,14,14,18,18,18,18,18,36,36,5,6.859453667049012,2.9833330045221373,17.726165999192744,0.0
1765110526,20,,Aggregated,5.666667,5.666667,5,6,7,9,14,14,18,18,18,18,18,44,44,5,6.396035000348506,2.9833330045221373,17.726165999192744,0.0
1765110527,20,,Aggregated,6.500000,6.500000,5,6,7,8,10,14,14,18,18,18,18,56,56,5,6.075296839688755,2.9833330045221373,17.726165999192744,0.0
1765110528,20,,Aggregated,7.200000,7.200000,5,6,6,7,10,14,14,18,18,18,18,62,62,5,5.853377645478524,2.565250004408881,17.726165999192744,0.0
1765110529,20,,Aggregated,7.333333,7.333333,4,5,6,7,9,14,14,18,18,18,18,72,72,4,5.571092000334627,2.565250004408881,17.726165999192744,0.0
1765110530,20,,Aggregated,8.285714,8.285714,4,5,6,7,10,14,37,50,50,50,50,85,85,4,6.328455847345621,1.8653750012163073,50.0200410024263,0.0
1765110531,20,,Aggregated,8.250000,8.250000,4,5,6,7,10,14,37,50,50,50,50,93,93,4,6.129600774710847,1.8653750012163073,50.0200410024263,0.0
1765110532,20,,Aggregated,8.333333,8.333333,4,5,6,7,12,14,37,50,60,60,60,105,105,4,6.710225372115106,1.8653750012163073,60.193958997842856,0.0
1765110533,20,,Aggregated,8.800000,8.800000,5,6,6,7,13,14,37,50,60,60,60,110,110,4,6.723726873381318,1.8653750012163073,60.193958997842856,0.0
1765110534,20,,Aggregated,8.900000,8.900000,4,6,7,7,12,14,37,50,60,60,60,123,123,4,6.57107992742752,1.8653750012163073,60.193958997842856,0.0
1765110535,20,,Aggregated,9.700000,9.700000,4,5,6,7,11,14,37,50,60,60,60,131,131,4,6.426882939430963,1.8653750012163073,60.193958997842856,0.0
1765110536,20,,Aggregated,9.600000,9.600000,4,5,6,7,10,14,37,50,60,60,60,143,143,4,6.2092983569311615,1.8653750012163073,60.193958997842856,0.0
1765110537,20,,Aggregated,10.000000,10.000000,4,5,6,7,10,14,18,50,60,60,60,154,154,4,6.024792467813951,1.8653750012163073,60.193958997842856,0.0
1765110538,20,,Aggregated,9.700000,9.700000,4,5,6,6,10,14,18,50,60,60,60,162,162,4,5.919513611225727,1.8653750012163073,60.193958997842856,0.0
1765110539,20,,Aggregated,10.000000,10.000000,4,5,6,6,10,14,18,50,60,60,60,172,172,4,5.751062965214788,1.8653750012163073,60.193958997842856,0.0
